id,overlapping,under_carbon,over_carbon,isolated
optimized_MOF_net-pto_node1-N41_node2-orgN17_edge1-E7_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-tsx_node1-N81_node2-orgN11_edge1-E1_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pry_node1-N28_node2-orgN26_edge1-E15_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pth_node1-N55_node2-orgN18_edge1-E10_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pry_node1-N81_node2-orgN23_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-ftw_node1-N72_node2-orgN20_edge1-E6_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-apo_node1-N46_node2-orgN3_edge1-none_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N49_node2-orgN14_edge1-E9_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,TRUE
optimized_MOF_net-pto_node1-N41_node2-orgN22_edge1-E7_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N28_node2-orgN9_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-tsx_node1-N19_node2-orgN23_edge1-E9_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-ssa_node1-N41_node2-orgN20_edge1-none_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-wbl_node1-N74_node2-orgN21_edge1-E15_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-wbl_node1-N78_node2-orgN21_edge1-E0_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N21_node2-orgN14_edge1-E1_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N33_node2-orgN17_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N48_node2-orgN2_edge1-E7_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pth_node1-N73_node2-orgN19_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-tsx_node1-N52_node2-orgN8_edge1-E4_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pth_node1-N79_node2-N41_edge1-E9_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,TRUE
optimized_MOF_net-cor_node1-N74_node2-N52_edge1-E15_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-ssb_node1-N57_node2-N57_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N17_node2-orgN3_edge1-E8_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N44_node2-orgN22_edge1-E2_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N70_node2-orgN3_edge1-E8_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pry_node1-N49_node2-orgN5_edge1-E1_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,TRUE
optimized_MOF_net-rtl_node1-N28_node2-orgN2_edge1-E2_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-bcu-b_node1-N77_node2-N31_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-ctn_node1-N10_node2-orgN23_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,TRUE
optimized_MOF_net-apo_node1-N44_node2-orgN5_edge1-E5_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pry_node1-N66_node2-N52_edge1-E7_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-tsx_node1-N49_node2-orgN23_edge1-E2_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N19_node2-orgN3_edge1-E6_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pth_node1-N79_node2-orgN21_edge1-E5_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,TRUE
optimized_MOF_net-anh_node1-N14_node2-N66_edge1-E2_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,TRUE
optimized_MOF_net-pry_node1-N52_node2-orgN14_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N53_node2-orgN22_edge1-E0_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N36_node2-orgN5_edge1-E2_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pto_node1-N57_node2-orgN3_edge1-E10_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N28_node2-orgN14_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pry_node1-N52_node2-orgN3_edge1-E10_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-the_node1-N66_node2-N31_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pto_node1-N41_node2-orgN8_edge1-E13_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pth_node1-N73_node2-orgN19_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pry_node1-N39_node2-orgN17_edge1-E3_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N44_node2-orgN2_edge1-none_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N53_node2-orgN3_edge1-E7_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-tsx_node1-N52_node2-orgN23_edge1-E9_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N46_node2-orgN22_edge1-E5_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-anh_node1-N53_node2-N66_edge1-E10_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N39_node2-orgN9_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N12_node2-orgN9_edge1-E15_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-nom_node1-N73_node2-orgN18_edge1-E5_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N52_node2-orgN26_edge1-E3_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N21_node2-orgN9_edge1-E14_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N17_node2-orgN5_edge1-E14_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N12_node2-orgN14_edge1-E1_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-cml_node1-N66_node2-N38_edge1-E13_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pth_node1-N74_node2-orgN1_edge1-E10_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-ssb_node1-N41_node2-orgN21_edge1-E10_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pth_node1-N78_node2-N54_edge1-E1_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,TRUE
optimized_MOF_net-sqc_node1-N80_node2-orgN15_edge1-E10_Chen_Manz_mofchecker,TRUE,TRUE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N66_node2-N28_edge1-E10_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pry_node1-N39_node2-orgN2_edge1-E7_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
